,group_counts,Delta_stats,Theta_stats,Alpha_stats,Beta_stats
hc,47.0,,,,
pa,47.0,,,,
Delta_Frontal_rel,,"{'count': 94.0, 'mean': 0.0561484398992986, 'std': 0.02825652277297375, 'min': 0.0189038095987262, '25%': 0.04004552891545647, '50%': 0.04927655189359165, '75%': 0.06542117102342627, 'max': 0.1993187960133451}",,,
Delta_Central_rel,,"{'count': 94.0, 'mean': 0.023605844734427183, 'std': 0.012284940475770353, 'min': 0.0080125228165544, '25%': 0.015602358658655774, '50%': 0.02139040453737775, '75%': 0.028441663550762525, 'max': 0.0950405812960791}",,,
Delta_Parietal_rel,,"{'count': 94.0, 'mean': 0.0470242256106879, 'std': 0.02646908202257381, 'min': 0.0186347815165824, '25%': 0.030616121240847324, '50%': 0.04069538456081525, '75%': 0.05417502588078822, 'max': 0.1569684422094093}",,,
Delta_Occipital_rel,,"{'count': 94.0, 'mean': 0.059352930776918514, 'std': 0.03930803790951132, 'min': 0.0192768398852314, '25%': 0.03569136990336155, '50%': 0.051442857333035746, '75%': 0.06817720486742643, 'max': 0.296882696405999}",,,
Delta_Temporal_rel,,"{'count': 94.0, 'mean': 0.10710284342871576, 'std': 0.055054468911485924, 'min': 0.0253503012114724, '25%': 0.07179111778291712, '50%': 0.0888274951935268, '75%': 0.12786763108424798, 'max': 0.2812520634772955}",,,
Delta_total_rel,,"{'count': 94.0, 'mean': 0.05203073713580953, 'std': 0.026714840834908552, 'min': 0.0207785693656984, '25%': 0.03587903567001913, '50%': 0.04517855708846445, '75%': 0.0614734809546058, 'max': 0.1807183939880832}",,,
Theta_Frontal_rel,,,"{'count': 94.0, 'mean': 0.05822066172869291, 'std': 0.028815674022508123, 'min': 0.0162582042514079, '25%': 0.0383416608814928, '50%': 0.05474390987328025, '75%': 0.07224319496610279, 'max': 0.1638630374378108}",,
Theta_Central_rel,,,"{'count': 94.0, 'mean': 0.035794614826791915, 'std': 0.026868514009222175, 'min': 0.0078507860942925, '25%': 0.020291718582628675, '50%': 0.02618508936377575, '75%': 0.04309152538491115, 'max': 0.1822884140309263}",,
Theta_Parietal_rel,,,"{'count': 94.0, 'mean': 0.07292570738515128, 'std': 0.04864190755004838, 'min': 0.0189857204709682, '25%': 0.0404547666373663, '50%': 0.0581411043786393, '75%': 0.08221213349924048, 'max': 0.2924358996133916}",,
Theta_Occipital_rel,,,"{'count': 94.0, 'mean': 0.09363457455842221, 'std': 0.05860075454361273, 'min': 0.0281096381484253, '25%': 0.05349764643601888, '50%': 0.08066518471911545, '75%': 0.1146920066732501, 'max': 0.3250197611234342}",,
Theta_Temporal_rel,,,"{'count': 94.0, 'mean': 0.10710284342871576, 'std': 0.055054468911485924, 'min': 0.0253503012114724, '25%': 0.07179111778291712, '50%': 0.0888274951935268, '75%': 0.12786763108424798, 'max': 0.2812520634772955}",,
Theta_total_rel,,,"{'count': 94.0, 'mean': 0.0763547281441467, 'std': 0.04686992312022678, 'min': 0.0227558646883645, '25%': 0.04369908406208582, '50%': 0.0649373351478934, '75%': 0.09040859831713097, 'max': 0.2953613793672267}",,
Alpha_Frontal_rel,,,,"{'count': 94.0, 'mean': 0.060472952994408274, 'std': 0.03626501672890378, 'min': 0.0124024152981606, '25%': 0.03284341301549747, '50%': 0.0527503545984061, '75%': 0.08014442752719494, 'max': 0.1884822107541889}",
Alpha_Central_rel,,,,"{'count': 94.0, 'mean': 0.0592809945493406, 'std': 0.04934150135343609, 'min': 0.008611276319675, '25%': 0.022166652442114975, '50%': 0.0416039208873488, '75%': 0.0841036022896119, 'max': 0.2593601708380721}",
Alpha_Parietal_rel,,,,"{'count': 94.0, 'mean': 0.206923613147226, 'std': 0.15194053656950726, 'min': 0.0268755095531401, '25%': 0.082795186855506, '50%': 0.1685976844154209, '75%': 0.30409600778577683, 'max': 0.6652813730613278}",
Alpha_Occipital_rel,,,,"{'count': 94.0, 'mean': 0.28722797933832667, 'std': 0.1855166808341357, 'min': 0.0355081180732972, '25%': 0.1187763250956111, '50%': 0.25575254865484354, '75%': 0.43832360492085487, 'max': 0.7300359278275287}",
