iter	MultiClass
268	0.9414034135
269	0.9408763691
270	0.9403531227
271	0.93981709
272	0.9392185801
273	0.9388110709
274	0.9383498535
275	0.9378035217
276	0.9372833817
277	0.9367981397
278	0.9363355086
279	0.9358536599
280	0.93534427
281	0.9348515744
282	0.9344906557
283	0.9339782289
284	0.9335304472
285	0.932969647
286	0.9324156514
287	0.9318566665
288	0.9313713624
289	0.930877301
290	0.9304292595
291	0.9297985221
292	0.9292654501
293	0.9287187139
294	0.9282400953
295	0.9277729608
296	0.9272626708
297	0.9268527747
298	0.9263151231
299	0.9257488011
300	0.9252122909
301	0.9246672737
302	0.9241526046
303	0.9236884843
304	0.9231528643
305	0.9226614495
306	0.9221842395
307	0.9217324791
308	0.9212759928
309	0.9207817328
310	0.9202818759
311	0.9198355921
312	0.9194239393
313	0.9188957619
314	0.9184788729
315	0.9181246077
316	0.917668908
317	0.9171904805
318	0.916683517
319	0.9162121025
320	0.9157832164
321	0.915316679
322	0.9148372235
323	0.9144038406
324	0.9138591632
325	0.9133742247
326	0.9128876625
327	0.9124304332
328	0.9119931745
329	0.9115455872
330	0.9110371339
331	0.9104796677
332	0.9100139165
333	0.9094314709
334	0.9089518597
335	0.9085120969
336	0.9081395005
337	0.907603616
338	0.9072487886
339	0.9068664474
340	0.9063691328
341	0.9058918902
342	0.9053872684
343	0.9048151048
344	0.9043018349
345	0.9038390402
346	0.903350313
347	0.9028695456
348	0.9024045464
349	0.9018921342
350	0.9014580408
351	0.9009486679
352	0.9005955357
353	0.9001721066
354	0.8996218909
355	0.8991912461
356	0.898674103
357	0.8982391755
358	0.8977394806
359	0.8972690298
360	0.8967101143
361	0.8962156573
362	0.895754295
363	0.8952095671
364	0.8947189473
365	0.8942613444
366	0.8937736413
367	0.8932788983
368	0.8928415207
369	0.8924173072
370	0.8920180044
371	0.8915340386
372	0.8911442903
373	0.8906871894
374	0.8902236306
375	0.8897944124
376	0.8892608553
377	0.8888279819
378	0.8884041329
379	0.8879467156
380	0.8874833728
381	0.8869384347
382	0.8864657036
383	0.8860168426
384	0.8855385488
385	0.885038176
386	0.8846095186
387	0.8841434003
388	0.8836717345
389	0.8832636532
390	0.8828860833
391	0.8824171836
392	0.88194428
393	0.8815244435
394	0.8811020363
395	0.8806774426
396	0.8801046169
397	0.8796814542
398	0.8792502074
399	0.8787747707
400	0.8782936651
401	0.8778408923
402	0.8773222152
403	0.8768364218
404	0.8763769233
405	0.8759068501
406	0.8754608374
407	0.8749973947
408	0.8745551835
409	0.8741270003
410	0.873692047
411	0.8732886713
412	0.8728893243
413	0.8724596462
414	0.8719929607
415	0.8715502869
416	0.8710757143
417	0.8706531271
418	0.8701989462
419	0.8697435857
420	0.8692872317
421	0.8688157575
422	0.8684376463
423	0.8679955907
424	0.8675623414
425	0.8670921652
426	0.8666792571
427	0.8662801998
428	0.8657837986
429	0.8653011877
430	0.8648234022
431	0.8644180794
432	0.8639552346
433	0.8635470596
434	0.8631531685
435	0.8626726789
436	0.8622681545
437	0.8617890166
438	0.8613680635
439	0.860865562
440	0.860417503
441	0.860005307
442	0.8595488167
443	0.8591025121
444	0.8586609329
445	0.8581912583
446	0.8577910124
447	0.8574026771
448	0.8569248916
449	0.856455778
450	0.8559899491
451	0.8555214452
452	0.8551022675
453	0.8547181896
454	0.8542455578
455	0.8537551882
456	0.8532788274
457	0.8527905724
458	0.8524539925
459	0.8520788946
460	0.8516857858
461	0.8512452508
462	0.8507778799
463	0.8503173771
464	0.8498831339
465	0.8495040595
466	0.8490753097
467	0.8487494068
468	0.8483847439
469	0.8478644809
470	0.8473399735
471	0.8469911022
472	0.8465859496
473	0.8461675537
474	0.8456881527
475	0.8452651892
476	0.8448871935
477	0.8444663484
478	0.844117117
479	0.843662557
480	0.8432066322
481	0.8427426488
482	0.8422948182
483	0.8418703011
484	0.8414182122
485	0.841037242
486	0.8405768216
487	0.8401513321
488	0.8396597035
489	0.839222935
490	0.8388094227
491	0.8384387383
492	0.8379990784
493	0.8376273519
494	0.8371611118
495	0.8368080462
496	0.8363539963
497	0.8358705143
498	0.8353802796
499	0.8350820616
500	0.8347286512
501	0.8342991364
502	0.8339337984
503	0.8334457328
504	0.8329963364
505	0.8326339719
506	0.8322142274
507	0.8317873788
508	0.8313494781
509	0.8309367735
510	0.830522496
511	0.8300720517
512	0.8296419312
513	0.8292696537
514	0.8288554572
515	0.8284989481
516	0.8280377972
517	0.8276748992
518	0.827212744
519	0.8267671803
520	0.8263765567
521	0.8260009639
522	0.825621549
523	0.8252235569
524	0.8248323369
525	0.8244884107
526	0.8241176104
527	0.8236960958
528	0.8233284087
529	0.8229765631
530	0.8225679834
531	0.822130126
532	0.8216614025
533	0.8212157734
534	0.8208103686
535	0.8204314267
536	0.8200008399
537	0.8196160265
538	0.8192153012
539	0.8187968787
540	0.8184612496
541	0.8180270198
542	0.817607617
543	0.8172807277
544	0.8168554389
545	0.8164640535
546	0.8160765983
547	0.8157128327
548	0.8153284627
549	0.8149120668
550	0.8144869417
551	0.8140412519
552	0.8136753834
553	0.813231985
554	0.8128752648
555	0.8124383857
556	0.812105285
557	0.8116767101
558	0.8112614199
559	0.8108991979
560	0.8104975235
561	0.8100726258
562	0.8096681318
563	0.8092552525
564	0.808861042
565	0.808406253
566	0.807930602
567	0.8075002297
568	0.8071000557
569	0.8066933532
570	0.806238584
571	0.8059444232
572	0.8055873214
573	0.8052262245
574	0.8048209541
575	0.8043665077
576	0.8039461187
577	0.8035900322
578	0.8032167353
579	0.8028203214
580	0.8024802809
581	0.8021054837
582	0.8016871063
583	0.8012373201
584	0.800796585
585	0.8003658547
586	0.8000781281
587	0.7997259503
588	0.7993671765
589	0.7989515961
590	0.7985039178
591	0.7981366519
592	0.7977614383
593	0.7973565598
594	0.7969301649
595	0.7966298414
596	0.7962882828
597	0.7958854369
598	0.7955151609
599	0.7951852525
600	0.7948115995
601	0.7944333115
602	0.7940574001
603	0.7936897156
604	0.793263124
605	0.7928631585
606	0.7924143401
607	0.7919948998
608	0.7916114539
609	0.7912237402
610	0.790874612
611	0.7904434052
612	0.7900082279
613	0.7896933661
614	0.7893589422
615	0.788909945
616	0.7885441102
0.7819218819
