,group_counts,Delta_stats,Theta_stats,Alpha_stats,Beta_stats
healthy_control,1.0,,,,
Delta_Frontal_mean,,"{'count': 1.0, 'mean': 9.070111559555252e-12, 'std': nan, 'min': 9.070111559555252e-12, '25%': 9.070111559555252e-12, '50%': 9.070111559555252e-12, '75%': 9.070111559555252e-12, 'max': 9.070111559555252e-12}",,,
Delta_Central_mean,,"{'count': 1.0, 'mean': 3.5663668031740847e-12, 'std': nan, 'min': 3.5663668031740847e-12, '25%': 3.5663668031740847e-12, '50%': 3.5663668031740847e-12, '75%': 3.5663668031740847e-12, 'max': 3.5663668031740847e-12}",,,
Delta_Parietal_mean,,"{'count': 1.0, 'mean': 8.608960239551934e-12, 'std': nan, 'min': 8.608960239551934e-12, '25%': 8.608960239551934e-12, '50%': 8.608960239551934e-12, '75%': 8.608960239551934e-12, 'max': 8.608960239551934e-12}",,,
Delta_Occipital_mean,,"{'count': 1.0, 'mean': 1.7109847899200658e-11, 'std': nan, 'min': 1.7109847899200658e-11, '25%': 1.7109847899200658e-11, '50%': 1.7109847899200658e-11, '75%': 1.7109847899200658e-11, 'max': 1.7109847899200658e-11}",,,
Delta_mean,,"{'count': 1.0, 'mean': 1.005145766031143e-11, 'std': nan, 'min': 1.005145766031143e-11, '25%': 1.005145766031143e-11, '50%': 1.005145766031143e-11, '75%': 1.005145766031143e-11, 'max': 1.005145766031143e-11}",,,
Theta_Frontal_mean,,,"{'count': 1.0, 'mean': 7.948303139267256e-12, 'std': nan, 'min': 7.948303139267256e-12, '25%': 7.948303139267256e-12, '50%': 7.948303139267256e-12, '75%': 7.948303139267256e-12, 'max': 7.948303139267256e-12}",,
Theta_Central_mean,,,"{'count': 1.0, 'mean': 4.481641254392157e-12, 'std': nan, 'min': 4.481641254392157e-12, '25%': 4.481641254392157e-12, '50%': 4.481641254392157e-12, '75%': 4.481641254392157e-12, 'max': 4.481641254392157e-12}",,
Theta_Parietal_mean,,,"{'count': 1.0, 'mean': 1.4470499897190729e-11, 'std': nan, 'min': 1.4470499897190729e-11, '25%': 1.4470499897190729e-11, '50%': 1.4470499897190729e-11, '75%': 1.4470499897190729e-11, 'max': 1.4470499897190729e-11}",,
Theta_Occipital_mean,,,"{'count': 1.0, 'mean': 2.4545326080045407e-11, 'std': nan, 'min': 2.4545326080045407e-11, '25%': 2.4545326080045407e-11, '50%': 2.4545326080045407e-11, '75%': 2.4545326080045407e-11, 'max': 2.4545326080045407e-11}",,
Theta_mean,,,"{'count': 1.0, 'mean': 1.2938590881597052e-11, 'std': nan, 'min': 1.2938590881597052e-11, '25%': 1.2938590881597052e-11, '50%': 1.2938590881597052e-11, '75%': 1.2938590881597052e-11, 'max': 1.2938590881597052e-11}",,
Alpha_Frontal_mean,,,,"{'count': 1.0, 'mean': 1.2095998224043252e-11, 'std': nan, 'min': 1.2095998224043252e-11, '25%': 1.2095998224043252e-11, '50%': 1.2095998224043252e-11, '75%': 1.2095998224043252e-11, 'max': 1.2095998224043252e-11}",
Alpha_Central_mean,,,,"{'count': 1.0, 'mean': 1.5535036586025255e-11, 'std': nan, 'min': 1.5535036586025255e-11, '25%': 1.5535036586025255e-11, '50%': 1.5535036586025255e-11, '75%': 1.5535036586025255e-11, 'max': 1.5535036586025255e-11}",
Alpha_Parietal_mean,,,,"{'count': 1.0, 'mean': 6.492008048097646e-11, 'std': nan, 'min': 6.492008048097646e-11, '25%': 6.492008048097646e-11, '50%': 6.492008048097646e-11, '75%': 6.492008048097646e-11, 'max': 6.492008048097646e-11}",
Alpha_Occipital_mean,,,,"{'count': 1.0, 'mean': 1.5262664235130814e-10, 'std': nan, 'min': 1.5262664235130814e-10, '25%': 1.5262664235130814e-10, '50%': 1.5262664235130814e-10, '75%': 1.5262664235130814e-10, 'max': 1.5262664235130814e-10}",
Alpha_mean,,,,"{'count': 1.0, 'mean': 5.2776396570905394e-11, 'std': nan, 'min': 5.2776396570905394e-11, '25%': 5.2776396570905394e-11, '50%': 5.2776396570905394e-11, '75%': 5.2776396570905394e-11, 'max': 5.2776396570905394e-11}",
Beta_Frontal_mean,,,,,"{'count': 1.0, 'mean': 1.5386483974059055e-11, 'std': nan, 'min': 1.5386483974059055e-11, '25%': 1.5386483974059055e-11, '50%': 1.5386483974059055e-11, '75%': 1.5386483974059055e-11, 'max': 1.5386483974059055e-11}"
Beta_Central_mean,,,,,"{'count': 1.0, 'mean': 1.3050354706169083e-11, 'std': nan, 'min': 1.3050354706169083e-11, '25%': 1.3050354706169083e-11, '50%': 1.3050354706169083e-11, '75%': 1.3050354706169083e-11, 'max': 1.3050354706169083e-11}"
Beta_Parietal_mean,,,,,"{'count': 1.0, 'mean': 2.6395654033888536e-11, 'std': nan, 'min': 2.6395654033888536e-11, '25%': 2.6395654033888536e-11, '50%': 2.6395654033888536e-11, '75%': 2.6395654033888536e-11, 'max': 2.6395654033888536e-11}"
Beta_Occipital_mean,,,,,"{'count': 1.0, 'mean': 3.6146889491384976e-11, 'std': nan, 'min': 3.6146889491384976e-11, '25%': 3.6146889491384976e-11, '50%': 3.6146889491384976e-11, '75%': 3.6146889491384976e-11, 'max': 3.6146889491384976e-11}"
Beta_mean,,,,,"{'count': 1.0, 'mean': 2.799197901688451e-11, 'std': nan, 'min': 2.799197901688451e-11, '25%': 2.799197901688451e-11, '50%': 2.799197901688451e-11, '75%': 2.799197901688451e-11, 'max': 2.799197901688451e-11}"
