,group_counts,Delta_stats,Theta_stats,Alpha_stats,Beta_stats
hc,47.0,,,,
pa,47.0,,,,
Delta_Frontal_mean,,"{'count': 94.0, 'mean': 3.6742276000161374e-11, 'std': 3.581140226605074e-11, 'min': 9.840050794196829e-12, '25%': 1.794590119831611e-11, '50%': 2.6323346004952145e-11, '75%': 4.474235092179824e-11, 'max': 2.520199068492616e-10}",,,
Delta_Central_mean,,"{'count': 94.0, 'mean': 5.7306231300076e-12, 'std': 3.4627725474432155e-12, 'min': 2.1326299020586634e-12, '25%': 3.4857155222107216e-12, '50%': 4.9127559530211676e-12, '75%': 6.438841034513729e-12, 'max': 2.3118062696579495e-11}",,,
Delta_Parietal_mean,,"{'count': 94.0, 'mean': 1.7037920100500278e-11, 'std': 1.4825760836699465e-11, 'min': 6.1717782392009135e-12, '25%': 9.790653803391675e-12, '50%': 1.320494650763769e-11, '75%': 1.9427207193126124e-11, 'max': 1.2345874267715235e-10}",,,
Delta_Occipital_mean,,"{'count': 94.0, 'mean': 2.7456894376582254e-11, 'std': 1.9534788926219087e-11, 'min': 1.0263341951134429e-11, '25%': 1.5503683653910005e-11, '50%': 2.1768957115349353e-11, '75%': 3.1366531366738704e-11, 'max': 1.1692451275292382e-10}",,,
Delta_mean,,"{'count': 94.0, 'mean': 2.1447019292558585e-11, 'std': 1.2658535769397118e-11, 'min': 8.850346910991693e-12, '25%': 1.2714593872653383e-11, '50%': 1.741548270966416e-11, '75%': 2.708799722805844e-11, 'max': 6.862513233131914e-11}",,,
Theta_Frontal_mean,,,"{'count': 94.0, 'mean': 1.3897037328550188e-11, 'std': 1.017048714293485e-11, 'min': 3.3425663328455168e-12, '25%': 7.98883774800975e-12, '50%': 1.0907792854446608e-11, '75%': 1.6887605711903116e-11, 'max': 7.446036772196181e-11}",,
Theta_Central_mean,,,"{'count': 94.0, 'mean': 5.291527325896898e-12, 'std': 5.2308045238156875e-12, 'min': 1.0670152762228213e-12, '25%': 2.7259584519339214e-12, '50%': 3.496761152963442e-12, '75%': 5.6265547839404734e-12, 'max': 3.889802517390558e-11}",,
Theta_Parietal_mean,,,"{'count': 94.0, 'mean': 1.813720998122147e-11, 'std': 2.4722760148930393e-11, 'min': 2.933404055667003e-12, '25%': 6.867399379817342e-12, '50%': 1.0868458424653455e-11, '75%': 1.8631911149681882e-11, 'max': 2.0789853217452147e-10}",,
Theta_Occipital_mean,,,"{'count': 94.0, 'mean': 3.1313523332934656e-11, 'std': 3.8460797983877213e-11, 'min': 5.643682674244786e-12, '25%': 1.2329067709809261e-11, '50%': 1.9762601381151185e-11, '75%': 3.387787526506886e-11, 'max': 3.1217916243293374e-10}",,
Theta_mean,,,"{'count': 94.0, 'mean': 1.780031500494219e-11, 'std': 1.7379966680847834e-11, 'min': 3.7969777908513156e-12, '25%': 7.963450907065432e-12, '50%': 1.309381477138943e-11, '75%': 2.0306543004708752e-11, 'max': 1.361794866833273e-10}",,
Alpha_Frontal_mean,,,,"{'count': 94.0, 'mean': 9.959398780137562e-12, 'std': 7.057262865540398e-12, 'min': 1.752567002940848e-12, '25%': 4.79749632647062e-12, '50%': 8.474192190400552e-12, '75%': 1.2435469316676352e-11, 'max': 4.356409285564002e-11}",
Alpha_Central_mean,,,,"{'count': 94.0, 'mean': 8.331066589268145e-12, 'std': 8.782234226477562e-12, 'min': 9.330215470935901e-13, '25%': 2.5430197401803427e-12, '50%': 5.150626692375228e-12, '75%': 1.1380739772600354e-11, 'max': 5.5266572867658824e-11}",
Alpha_Parietal_mean,,,,"{'count': 94.0, 'mean': 5.3972745317288295e-11, 'std': 6.937833775390729e-11, 'min': 3.261125440927889e-12, '25%': 1.0900469879265116e-11, '50%': 3.2668224524303324e-11, '75%': 6.803646127473845e-11, 'max': 3.719287339775186e-10}",
Alpha_Occipital_mean,,,,"{'count': 94.0, 'mean': 1.0718910310942006e-10, 'std': 1.336412230869377e-10, 'min': 5.985033532789679e-12, '25%': 1.9706718633979324e-11, '50%': 5.715729823544767e-11, '75%': 1.3546059967678404e-10, 'max': 8.169688655666933e-10}",
