,group_counts,Delta_stats,Theta_stats,Alpha_stats,Beta_stats
nccp,46.0,,,,
cbp,34.0,,,,
fm,20.0,,,,
Delta_Frontal_rel,,"{'count': 100.0, 'mean': 0.05689687051691322, 'std': 0.032835105130213156, 'min': 0.015106519035325, '25%': 0.03966457227830455, '50%': 0.0495333150718009, '75%': 0.06825747482135257, 'max': 0.2927287391472273}",,,
Delta_Central_rel,,"{'count': 100.0, 'mean': 0.024351768331187403, 'std': 0.013938285805349771, 'min': 0.0040057211527812, '25%': 0.016214727219904076, '50%': 0.021481188171752402, '75%': 0.028556091524201226, 'max': 0.0950405812960791}",,,
Delta_Parietal_rel,,"{'count': 100.0, 'mean': 0.04694533003229119, 'std': 0.02661411154680477, 'min': 0.009884160304539, '25%': 0.02940154611628885, '50%': 0.0407781568826011, '75%': 0.05587832943537765, 'max': 0.1569684422094093}",,,
Delta_Occipital_rel,,"{'count': 100.0, 'mean': 0.05958516294500718, 'std': 0.03995094173578491, 'min': 0.0169602685219902, '25%': 0.03567785641034705, '50%': 0.04799440204947715, '75%': 0.07111542600417615, 'max': 0.296882696405999}",,,
Delta_Temporal_rel,,"{'count': 100.0, 'mean': 0.10751560564786057, 'std': 0.05556036098680533, 'min': 0.0253503012114724, '25%': 0.0645470316132835, '50%': 0.09185154360873755, '75%': 0.13619926343407318, 'max': 0.2761114738167106}",,,
Delta_total_rel,,"{'count': 100.0, 'mean': 0.14681205224647306, 'std': 0.05837613048912214, 'min': 0.0257476098004652, '25%': 0.1224232638508979, '50%': 0.16551292365845127, '75%': 0.1839190922580477, 'max': 0.2496360883071153}",,,
Theta_Frontal_rel,,,"{'count': 100.0, 'mean': 0.058209891113956226, 'std': 0.03484154931876477, 'min': 0.0109467961983746, '25%': 0.03720257802938362, '50%': 0.05208394436859865, '75%': 0.06991566213658848, 'max': 0.2765226991122358}",,
Theta_Central_rel,,,"{'count': 100.0, 'mean': 0.037460123715552164, 'std': 0.03251480674164103, 'min': 0.0051413792850562, '25%': 0.020811396088568725, '50%': 0.0287579741073114, '75%': 0.040929739985846876, 'max': 0.2403836449988245}",,
Theta_Parietal_rel,,,"{'count': 100.0, 'mean': 0.07627721921718156, 'std': 0.05993844960125113, 'min': 0.0134362915864859, '25%': 0.0421750839885384, '50%': 0.06113852247480305, '75%': 0.08420954616720844, 'max': 0.4203563665142651}",,
Theta_Occipital_rel,,,"{'count': 100.0, 'mean': 0.09902388402061467, 'std': 0.07091183223845908, 'min': 0.0228444299828156, '25%': 0.05330383283887745, '50%': 0.0776419638527881, '75%': 0.11882130187184735, 'max': 0.4180130619564263}",,
Theta_Temporal_rel,,,"{'count': 100.0, 'mean': 0.10751560564786057, 'std': 0.05556036098680533, 'min': 0.0253503012114724, '25%': 0.0645470316132835, '50%': 0.09185154360873755, '75%': 0.13619926343407318, 'max': 0.2761114738167106}",,
Theta_total_rel,,,"{'count': 100.0, 'mean': 0.1611650260775309, 'std': 0.06202382289858552, 'min': 0.0297165014098023, '25%': 0.14038870518349056, '50%': 0.17655011417935135, '75%': 0.19747519870168462, 'max': 0.3451565593951299}",,
Alpha_Frontal_rel,,,,"{'count': 100.0, 'mean': 0.06175006990349456, 'std': 0.03607827831230887, 'min': 0.0089689687800024, '25%': 0.033201645550869324, '50%': 0.0572184753253903, '75%': 0.08126442084527745, 'max': 0.1783942176874075}",
