,group_counts,Delta_stats,Theta_stats,Alpha_stats,Beta_stats
Alpha_Central_rel,,,,"{'count': 100.0, 'mean': 0.06851561007900389, 'std': 0.05112752757410125, 'min': 0.0066235452455024, '25%': 0.0274089324831571, '50%': 0.0576007383662656, '75%': 0.09622447482773712, 'max': 0.2593601708380721}",
Alpha_Parietal_rel,,,,"{'count': 100.0, 'mean': 0.22494983179491868, 'std': 0.14918313281540438, 'min': 0.0201754365536601, '25%': 0.09930092669222673, '50%': 0.2039910152083772, '75%': 0.3205429501869634, 'max': 0.587707574937236}",
Alpha_Occipital_rel,,,,"{'count': 100.0, 'mean': 0.3016943680660906, 'std': 0.17943698457142732, 'min': 0.0355081180732972, '25%': 0.15729275672411064, '50%': 0.2967435555412816, '75%': 0.4526522842648341, 'max': 0.6602183041312364}",
Alpha_Temporal_rel,,,,"{'count': 100.0, 'mean': 0.10751560564786057, 'std': 0.05556036098680533, 'min': 0.0253503012114724, '25%': 0.0645470316132835, '50%': 0.09185154360873755, '75%': 0.13619926343407318, 'max': 0.2761114738167106}",
Alpha_total_rel,,,,"{'count': 100.0, 'mean': 0.21784337563075495, 'std': 0.06784974720124107, 'min': 0.0254451868921162, '25%': 0.17792894246586735, '50%': 0.2142066768924858, '75%': 0.25039488469191096, 'max': 0.4560748964103095}",
Beta_Frontal_rel,,,,,"{'count': 100.0, 'mean': 0.06212981401962657, 'std': 0.04250395270394938, 'min': 0.0134066819510028, '25%': 0.037079757700739, '50%': 0.0538222867403927, '75%': 0.07567373921664662, 'max': 0.3710846790241628}"
Beta_Central_rel,,,,,"{'count': 100.0, 'mean': 0.05823130836017805, 'std': 0.040266269319585594, 'min': 0.0071140032285651, '25%': 0.0291785897341332, '50%': 0.047911646787726456, '75%': 0.07860384030762867, 'max': 0.2137145977689738}"
Beta_Parietal_rel,,,,,"{'count': 100.0, 'mean': 0.09520753816442118, 'std': 0.05472460463608911, 'min': 0.0203149888951895, '25%': 0.05581871297753195, '50%': 0.07268327014740525, '75%': 0.12181240568401885, 'max': 0.2898142411452762}"
Beta_Occipital_rel,,,,,"{'count': 100.0, 'mean': 0.10751560564786057, 'std': 0.05556036098680533, 'min': 0.0253503012114724, '25%': 0.0645470316132835, '50%': 0.09185154360873755, '75%': 0.13619926343407318, 'max': 0.2761114738167106}"
Beta_Temporal_rel,,,,,"{'count': 100.0, 'mean': 0.10751560564786057, 'std': 0.05556036098680533, 'min': 0.0253503012114724, '25%': 0.0645470316132835, '50%': 0.09185154360873755, '75%': 0.13619926343407318, 'max': 0.2761114738167106}"
Beta_total_rel,,,,,"{'count': 100.0, 'mean': 0.16921228024604484, 'std': 0.04672791354267025, 'min': 0.0410005020622985, '25%': 0.14880405872145763, '50%': 0.17801730392183665, '75%': 0.20246522473350467, 'max': 0.2496818373045991}"
